"commit"	"date"	"subject"	"classification"	"assessment"	"files"
"0cc0db694f189550faf1c6086e386f81d72039db"	"2026-08-17"	"fix(safety): close the post-overhaul safety, terminal-contract, and durable-I/O follow-up"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CMakeLists.txt, include/cumes/io/run_report.hpp, include/cumes/io/writer_helpers.hpp, include/cumes/numerics/device_predicates.cuh, include/cumes/solver/control_record.hpp, include/cumes/solver/equilibrium_operator.hpp, src/cumes/io/hdf5_writer.cpp, src/cumes/io/netcdf_writer.cpp, src/geometry_impl.cuh, src/solver_impl.cuh, test_host_config_scratch_1656383.json, test_host_config_scratch_1660943.json, tests/output_publication_test.sh, tests/test_io_restart_offsets.cpp, tests/test_output_failure.cu, tests/test_safety_predicates.cu"
"f2cddbe8394bbd52cd2b23ac37f8d8309e565f2d"	"2026-08-17"	"fix(release): repair the release and build-matrix gates"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	".github/workflows/ci.yml, CMakePresets.json, scripts/ci_gpu.sh, tests/cli_policy_test.sh, tests/test_event_dag.cu, tests/test_host_config.cpp"
"3a1f7b0e14e2aeb3de966a3ec929a1b2f0e9bde6"	"2026-08-17"	"docs: close the post-overhaul follow-up documents"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, docs/overhaul-completion-plan.md, docs/performance.md, docs/post-overhaul-follow-up.md, docs/verification.md"
"102c6ec2bcb7dead2b0ece9a871a40daeae78480"	"2026-08-17"	"fix(io): prove exact rank/type/extent before every v1 reader access"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CMakeLists.txt, include/cumes/io/writer_helpers.hpp, src/cumes/io/hdf5_writer.cpp, src/cumes/io/netcdf_writer.cpp, tests/test_io_malformed_shapes.cpp"
"611e8d7929431ab4579249362ba5bef1febaf096"	"2026-08-17"	"docs: reconcile the closeout documents after the reader-rank repair"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"CLAUDE.md, docs/overhaul-completion-plan.md, docs/post-overhaul-follow-up.md, docs/reader-rank-hardening-handoff.md, docs/verification.md"
"ac7f94ea2fb75388bf70f6dea5ad9fe1b7e17a60"	"2026-08-18"	"docs: hand off remaining v1 reader hardening"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"docs/overhaul-completion-plan.md, docs/reader-rank-hardening-handoff.md, docs/v1-reader-resource-hardening-handoff.md, docs/verification.md"
"de265cd51e30e259aedf3b2a2369cd4516e1d620"	"2026-08-18"	"fix(io): bound and validate v1 reader resources"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"include/cumes/io/writer_helpers.hpp, src/cumes/io/hdf5_writer.cpp, src/cumes/io/netcdf_writer.cpp, tests/test_io_malformed_shapes.cpp"
"56aa1a436514f2de6291bc15bc0442128cbd74de"	"2026-08-18"	"docs: close v1 reader resource hardening"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	"docs/overhaul-completion-plan.md, docs/reader-rank-hardening-handoff.md, docs/v1-reader-resource-hardening-handoff.md, docs/verification.md"
"522e77216525857a0b7f6023b5b4d874a55c2ff5"	"2026-08-18"	"fix(ci): remove unavailable self-hosted gpu lane"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	".github/workflows/ci.yml, docs/overhaul-completion-plan.md, docs/verification.md, scripts/ci_gpu.sh"
"f1bd54640e68ff7d168bbb019639e957ddbbf99b"	"2026-08-18"	"fix(ci): install cuFFT from the correct package namespace"	"context"	"Feature, correctness, documentation, release, or maintenance; no separately attributed solver speedup"	".github/workflows/ci.yml, docs/overhaul-completion-plan.md, docs/verification.md"
